Rewards: 760, total: 256617
Rewards: 863, total: 257480
Rewards: 340, total: 257820
Rewards: 272, total: 258092
Rewards: 1009, total: 259101
Rewards: 1050, total: 260151
Rewards: 827, total: 260978
Rewards: 209, total: 261187
Rewards: 263, total: 261450
Rewards: 663, total: 262113
Rewards: 455, total: 262568
Rewards: 406, total: 262974
Rewards: 701, total: 263675
Rewards: 1086, total: 264761
Rewards: 542, total: 265303
Rewards: 0, total: 265303
Rewards: 1021, total: 266324
Rewards: 515, total: 266839
Rewards: 1209, total: 268048
Rewards: 627, total: 268675
Rewards: 903, total: 269578
Rewards: 435, total: 270013
Rewards: 1393, total: 271406
Rewards: 884, total: 272290
Rewards: 635, total: 272925
Rewards: 596, total: 273521
Rewards: 486, total: 274007
Rewards: 808, total: 274815
Rewards: 1152, total: 275967
Rewards: 274, total: 276241
Rewards: 1104, total: 277345
Rewards: 418, total: 277763
Rewards: 553, total: 278316
Rewards: 708, total: 279024
Rewards: 642, total: 279666
Rewards: 233, total: 279899
Rewards: 787, total: 280686
Rewards: 171, total: 280857
Rewards: 647, total: 281504
Rewards: 724, total: 282228
Rewards: 629, total: 282857
Rewards: 627, total: 283484
Rewards: 1261, total: 284745
Rewards: 744, total: 285489
Rewards: 460, total: 285949
Rewards: 674, total: 286623
Rewards: 588, total: 287211
Rewards: 1037, total: 288248
Rewards: 544, total: 288792
Rewards: 860, total: 289652
Rewards: -57, total: 289595
Rewards: 745, total: 290340
Rewards: 208, total: 290548
Rewards: 435, total: 290983
Rewards: 823, total: 291806
Rewards: 496, total: 292302
Rewards: 530, total: 292832
Rewards: 992, total: 293824
Rewards: 245, total: 294069
Rewards: 326, total: 294395
Rewards: 910, total: 295305
Rewards: 60, total: 295365
Rewards: 477, total: 295842
Rewards: 351, total: 296193
Rewards: 715, total: 296908
Rewards: 918, total: 297826
Rewards: 767, total: 298593
Rewards: 641, total: 299234
Rewards: 916, total: 300150
Rewards: 566, total: 300716
Rewards: 548, total: 301264
Rewards: 233, total: 301497
Rewards: 1518, total: 303015
Rewards: 1919, total: 304934
Rewards: 798, total: 305732
Rewards: 1018, total: 306750
Rewards: 610, total: 307360
Rewards: 724, total: 308084
Rewards: 613, total: 308697
Rewards: 1104, total: 309801
Rewards: 735, total: 310536
Rewards: 626, total: 311162
Rewards: 763, total: 311925
Rewards: 413, total: 312338
Rewards: 974, total: 313312
Rewards: 92, total: 313404
Rewards: 895, total: 314299
Rewards: 1004, total: 315303
Rewards: 764, total: 316067
Rewards: 791, total: 316858
Rewards: 824, total: 317682
Rewards: 624, total: 318306
Rewards: 803, total: 319109
Rewards: 288, total: 319397
Rewards: 200, total: 319597
Rewards: 601, total: 320198
Rewards: 406, total: 320604
Rewards: 240, total: 320844
Rewards: 391, total: 321235
Rewards: 690, total: 321925
Rewards: 878, total: 322803
Rewards: 833, total: 323636
Rewards: 336, total: 323972
Rewards: 611, total: 324583
Rewards: 1227, total: 325810
Rewards: 633, total: 326443
Rewards: 473, total: 326916
Rewards: 572, total: 327488
Rewards: 1799, total: 329287
Rewards: 327, total: 329614
Rewards: 1188, total: 330802
Rewards: 967, total: 331769
Rewards: 904, total: 332673
Rewards: 604, total: 333277
Rewards: 754, total: 334031
Rewards: 1101, total: 335132
Rewards: 253, total: 335385
Rewards: -257, total: 335128
Rewards: 1194, total: 336322
Rewards: 618, total: 336940
Rewards: 1249, total: 338189
Rewards: 1007, total: 339196
Rewards: 288, total: 339484
Rewards: 1460, total: 340944
Rewards: 537, total: 341481
Rewards: 454, total: 341935
Rewards: 921, total: 342856
Rewards: 941, total: 343797
Rewards: 725, total: 344522
Rewards: 784, total: 345306
Rewards: 466, total: 345772
Rewards: 413, total: 346185
Rewards: 381, total: 346566
Rewards: 656, total: 347222
Rewards: 1404, total: 348626
Rewards: 653, total: 349279
Rewards: 234, total: 349513
Rewards: 36, total: 349549
Rewards: 1416, total: 350965
Rewards: 1013, total: 351978
Rewards: 897, total: 352875
Rewards: 191, total: 353066
Rewards: 936, total: 354002
Rewards: 401, total: 354403
Rewards: 495, total: 354898
Rewards: 774, total: 355672
Rewards: 653, total: 356325
Rewards: -134, total: 356191
Rewards: 1420, total: 357611
Rewards: 610, total: 358221
Rewards: 1532, total: 359753
Rewards: 1036, total: 360789
Rewards: 732, total: 361521
Rewards: 653, total: 362174
Rewards: 1150, total: 363324
Rewards: 1182, total: 364506
Rewards: 912, total: 365418
Rewards: 713, total: 366131
Rewards: 1112, total: 367243
Rewards: 1860, total: 369103
Rewards: 1088, total: 370191
Rewards: 460, total: 370651
Rewards: 1080, total: 371731
Rewards: 850, total: 372581
Rewards: 1344, total: 373925
Rewards: 927, total: 374852
Rewards: 904, total: 375756
Rewards: 1365, total: 377121
Rewards: 1692, total: 378813
Rewards: 919, total: 379732
Rewards: 640, total: 380372
Rewards: 933, total: 381305
Rewards: 583, total: 381888
Rewards: 888, total: 382776
Rewards: 52, total: 382828
Rewards: 1715, total: 384543
Rewards: 475, total: 385018
Rewards: 1277, total: 386295
Rewards: 1532, total: 387827
Rewards: 1621, total: 389448
Rewards: 920, total: 390368
Rewards: 608, total: 390976
Rewards: 398, total: 391374
Rewards: 386, total: 391760
Rewards: 823, total: 392583
Rewards: 1158, total: 393741
Rewards: 1121, total: 394862
Rewards: 1105, total: 395967
Rewards: 529, total: 396496
Rewards: 1251, total: 397747
Rewards: 241, total: 397988
Rewards: 1172, total: 399160
Rewards: 715, total: 399875
Rewards: 1128, total: 401003
Rewards: 752, total: 401755
Rewards: 1402, total: 403157
Rewards: 854, total: 404011
Rewards: 679, total: 404690
Rewards: 934, total: 405624
Rewards: 634, total: 406258
Rewards: 480, total: 406738
Rewards: 978, total: 407716
Rewards: 693, total: 408409
Rewards: 1079, total: 409488
Rewards: 331, total: 409819
Rewards: 844, total: 410663
Rewards: 488, total: 411151
Rewards: -121, total: 411030
Rewards: 943, total: 411973
Rewards: 684, total: 412657
Rewards: 1070, total: 413727
Rewards: 2052, total: 415779
Rewards: 1191, total: 416970
Rewards: 935, total: 417905
Rewards: 1057, total: 418962
Rewards: 794, total: 419756
Rewards: 1401, total: 421157
Rewards: 688, total: 421845
Rewards: 543, total: 422388
Rewards: 359, total: 422747
