Rewards: 1447, total: 960226
Rewards: 2207, total: 962433
Rewards: 1306, total: 963739
Rewards: 1534, total: 965273
Rewards: 1049, total: 966322
Rewards: 1964, total: 968286
Rewards: 2303, total: 970589
Rewards: 2224, total: 972813
Rewards: 1228, total: 974041
Rewards: 1566, total: 975607
Rewards: 1211, total: 976818
Rewards: 1473, total: 978291
Rewards: 1202, total: 979493
Rewards: 988, total: 980481
Rewards: 1202, total: 981683
Rewards: 1505, total: 983188
Rewards: 1788, total: 984976
Rewards: 1734, total: 986710
Rewards: 1017, total: 987727
Rewards: 1458, total: 989185
Rewards: 1504, total: 990689
Rewards: 1769, total: 992458
Rewards: 1260, total: 993718
Rewards: 2273, total: 995991
Rewards: 1721, total: 997712
Rewards: 2252, total: 999964
Rewards: 2018, total: 1001982
Rewards: 1296, total: 1003278
Rewards: 1542, total: 1004820
Rewards: 1300, total: 1006120
Rewards: 1513, total: 1007633
Rewards: 1516, total: 1009149
Rewards: 750, total: 1009899
Rewards: 1752, total: 1011651
Rewards: 1309, total: 1012960
Rewards: 1746, total: 1014706
Rewards: 1920, total: 1016626
Rewards: 2247, total: 1018873
Rewards: 1208, total: 1020081
Rewards: 2013, total: 1022094
Rewards: 997, total: 1023091
Rewards: 2329, total: 1025420
Rewards: 1398, total: 1026818
Rewards: 1663, total: 1028481
Rewards: 1045, total: 1029526
Rewards: 1212, total: 1030738
Rewards: 950, total: 1031688
Rewards: 1472, total: 1033160
Rewards: 2366, total: 1035526
Rewards: 2000, total: 1037526
Rewards: 1249, total: 1038775
Rewards: 1505, total: 1040280
Rewards: 1238, total: 1041518
Rewards: 789, total: 1042307
Rewards: 1563, total: 1043870
Rewards: 745, total: 1044615
Rewards: 1290, total: 1045905
Rewards: 760, total: 1046665
Rewards: 1275, total: 1047940
Rewards: 1276, total: 1049216
Rewards: 1732, total: 1050948
Rewards: 904, total: 1051852
Rewards: 1273, total: 1053125
Rewards: 1530, total: 1054655
Rewards: 931, total: 1055586
Rewards: 1013, total: 1056599
Rewards: 1279, total: 1057878
Rewards: 1264, total: 1059142
Rewards: 1542, total: 1060684
Rewards: 1038, total: 1061722
Rewards: 1540, total: 1063262
Rewards: 1970, total: 1065232
Rewards: 1370, total: 1066602
Rewards: 1278, total: 1067880
Rewards: 1283, total: 1069163
Rewards: 1058, total: 1070221
Rewards: 993, total: 1071214
Rewards: 2022, total: 1073236
Rewards: 1504, total: 1074740
Rewards: 1087, total: 1075827
Rewards: 1113, total: 1076940
Rewards: 1283, total: 1078223
Rewards: 1266, total: 1079489
Rewards: 1918, total: 1081407
Rewards: 1288, total: 1082695
Rewards: 986, total: 1083681
Rewards: 2225, total: 1085906
Rewards: 1682, total: 1087588
Rewards: 801, total: 1088389
Rewards: 1522, total: 1089911
Rewards: 1018, total: 1090929
Rewards: 1230, total: 1092159
Rewards: 1965, total: 1094124
Rewards: 1500, total: 1095624
Rewards: 740, total: 1096364
Rewards: 1268, total: 1097632
Rewards: 1282, total: 1098914
Rewards: 2202, total: 1101116
Rewards: 955, total: 1102071
Rewards: 1295, total: 1103366
Rewards: 772, total: 1104138
Rewards: 1503, total: 1105641
Rewards: 1249, total: 1106890
Rewards: 2282, total: 1109172
Rewards: 1246, total: 1110418
Rewards: 1482, total: 1111900
Rewards: 2328, total: 1114228
Rewards: 1170, total: 1115398
Rewards: 1730, total: 1117128
Rewards: 2015, total: 1119143
Rewards: 1035, total: 1120178
Rewards: 963, total: 1121141
Rewards: 2280, total: 1123421
Rewards: 1072, total: 1124493
Rewards: 1244, total: 1125737
Rewards: 1433, total: 1127170
Rewards: 1448, total: 1128618
Rewards: 1756, total: 1130374
Rewards: 1498, total: 1131872
Rewards: 1435, total: 1133307
Rewards: 1246, total: 1134553
Rewards: 2294, total: 1136847
Rewards: 1529, total: 1138376
Rewards: 1589, total: 1139965
Rewards: 1821, total: 1141786
